# 「基本辞書データ（漢字、自由）.tsv」片山博文MZ
# This file is public domain software.
一輪	車リンがヒトつのみ。
一輪車	車リンがヒトつのみのクルマ。
一週間	イッシュウカン。
一進一退	良くなったり悪くなったりをくり返すこと。
一部	イチブ。あるブ分。
一部始終	はじめから終わりまで。
一酸化炭素	不完全燃焼で発生する有毒ガス。
一長一短	良いところもあるが、悪いところもあるということ。
七五三	11月15日に子どもの成長を祝う行事。
七味唐辛子	ナナつのアジがするトウガラシ。
七夕	タナバタ。
七夕祭	タナバタマツリ。
七日	ナノカ。
七月	七夕と海の日があるツキ。
七福神	フクをもたらすといわれるナナ人のカミ。
七草	ナナ種類のクサ。
七転八倒	のたうちまわって苦しむこと。
七面鳥	アメリカでクリスマスのときに食べられるトリの仲間。
万一	あまりありえないことだが、もしものとき。
万事	ほとんどすべてのことが。
万人	多くのヒト。
万全	バンゼン。まったく完ゼンなこと。
万国	あらゆるクニ。
万年筆	マンネンヒツ。
万有引力	ニュートンが発見したチカラ。
万歩計	ホ数をカウントする機械。
万物	バンブツ。ありとあらゆるモノ。
万病	あらゆるヤマイ。
万能	あらゆることができる。
丈夫	しっかりしていて壊れないさま。
三世	モンキーパンチの「ルパン○○」。
三倍速	サンバイのハヤさ。
三原色	あらゆるイロのもととなるサン種類のイロ。
三味線	サン本の弦で演奏する和楽器。
三塁	サンルイ。
三大文明	メソポタミア・エジプト・インダス・黄河で栄えた。
三女	サン番目のジョ児。
三学期	サン番目のガッキ。
三寒四温	寒い日と暖かい日が数日ごとにくり返されること。
三年生	サンネン目のセイ徒。
三年間	一ネンカンのサン倍。
三拍子	ワンツースリー、ワンツースリー。
三振	スリーストライク。
三日	ミッカ。
三日月	ミカズキ。
三月	ひなまつりのあるツキ。
三権分立	立法ケン、司法ケン、行政ケンを分けること。
三次元	上下、左右、前後のサン方向に広がっていること。
三男	サン版目のダン児。
三等分	サン個にヒトしくワけること。
三角	ミッつのカド。
三角定規	30度、60度、90度。
三角州	河口に土砂がたまってできた扇形の陸地。
三角形	サン個の辺で囲まれた図形。
三角柱	底面がサンカク形の角チュウ。
三輪車	サン個の車リンがついたクルマ。
三連休	ミッ日間、レン続したキュウ日。
三重	ミッつ、カサなる。
三重県	紀伊半島の東側に位置する県。
三階	サン番目のカイ。
三面記事	サンメンキジ。
三面鏡	サンメンキョウ。
上下	ウエとシタ。
上下対称	上下をひっくり返ししても同じ図形。
上下関係	ウエとシタのカンケイ。
上京	東キョウ都にノボる。
上半期	1月1日～6月30日。
上半身	ウエハン分の体。
上司	組織において自分より役職がジョウ位となる人。
上品	ヒンがいいこと。
上場企業	ジョウジョウキギョウ。
上意下達	上の人の意見を下の者に伝えること。
上手	やり方がうまい。
上方修正	ジョウホウシュウセイ。
上昇	ノボってアガること。
上昇気流	ノボるキリュウ。
上映	エイ画を人々に見せること。ジョウエイ。
上機嫌	非常にキゲンが良いこと。
上水道	きれいなミズを運ぶスイドウ。
上流	川の流れにおいて源に近い方。
上流階級	社会のジョウ層部にある人々で構成されるカイキュウ。
上演	人々にエン劇・エン芸などを見せること。
上着	外側にキる服。
上空	高い高いソラのウエ。
上等	ウエのトウ級であること。
上級	ウエのキュウ。
上級生	ウエのキュウのセイ徒。
上記	ウエにシルしたこと。
上質	品シツが優れていること。
上辺	ウワベ。
上達	うまくなる。
上陸	リクにアがる。
下剤	便をやわらかくして排便を促進する薬ザイ。
下半期	7月1日～12月31日。
下半身	シタハン分の体。
下品	言動などに卑しさが感じられるさま。
下宿	一ヶ月以上の期間、シュク泊料を受けてシュク泊させる営業。
下山	ヤマをクダること。
下心	ココロの底でひそかに考えていること。
下手	やり方がまずいこと。
下方修正	カホウシュウセイ。
下校	学コウから家へ帰ること。
下水	汚いミズ。
下水道	汚いミズの通りミチ。
下流	川の流れにおいて、河口に近い方。
下準備	シタジュンビ。
下火	ヒの燃え方や流行などが弱まること。「カゼの流行も○○になった」
下着	内側にキる服。上ギの反対。
下級生	シタのキュウのセイ徒。
下絵	絵を描くためのシタがきのエ。
下線	文字のシタに引いたセン。
下見	ある事をする前に、あらかじめミておくこと。
下調	あらかじめチョウ査しておくこと。
下車	クルマをクダること。
下降	シタにオりていくこと。
下駄	歩くとすてきな音がなる日本独特のはき物。
不作	サク物があまりとれなかったこと。
不便	ベン利ではないこと。
不信感	フシンカン。
不健全	ケンゼンではないこと。
不健康	ケンコウ的ではないこと。
不備	充分にソナえていないこと。
不具合	グアイが悪いこと。
不利	条件・形勢などがよくないこと。
不利益	フリエキ。
不動産	土地と建物などのウゴかない財サン。
不動産事業	フドウサンジギョウ。
不動産会社	フドウサンガイシャ。
不動産投資	フドウサントウシ。
不動産株	フドウサンカブ。
不動産業	フドウサンギョウ。
不動産業者	フドウサンギョウシャ。
不十分	ジュウブンではないこと。
不参加	フサンカ。
不可抗力	抵コウできないチカラ。
不可欠	それが必要なこと。
不可能	できないこと。
不可解	原因がわからず、疑問が残ること。
不可逆	フカギャク。
不合格	ゴウカクしなかったこと。
不器用	上手ではないこと。
不在	その場にいないこと。
不始末	シマツが悪かったこと。
不安	アンシンではないこと。
不完全	カンゼンではないこと。
不完全燃焼	フカンゼンネンショウ。
不定	サダまらないこと。
不審	犯罪が疑われる怪しい様子。
不導体	熱や電気が伝わりにくい物タイ。
不平	満足できなくて心がおだやかでないこと。「○○不満を言う」
不平不満	自分の思っている通りにならないで、いらいらしていること。
不平等	フビョウドウ。
不幸	シアワせではないこと。
不必要	ヒツヨウではないこと。
不快	気持ち悪いこと。
不快指数	蒸し暑さを数値で表したもの。
不思議	予想外だな、おかしいなと思うこと。
不成立	セイリツしないこと。
不戦勝	タタカわずしてカつこと。
不手際	フテギワ。
不振	成績などがよくないこと。
不採用	サイヨウしないこと。
不支持率	フシジリツ。
不明	アキらかではないこと。
不景気	ケイキが悪いこと。
不条理	フジョウリ。
不機嫌	キゲンが悪いこと。
不正	タダしくないこと。
不正受給	フセイジュキュウ。
不正確	セイカクではないこと。
不正競争防止法	フセイキョウソウボウシホウ。
不正解	セイカイしなかったこと。
不正請求	フセイセイキュウ。
不正防止	フセイボウシ。
不死身	シなない体。
不毛	土地に作物が育たないさま。
不気味	ブキミ。
不治	ナオらないこと。
不治病	ナオらないビョウ気。
不況	景気が悪いこと。
不注意	チュウイが足りないこと。
不測	思ってもみないこと。
不満	マン足しないこと。
不潔	清ケツではないこと。
不燃性	モえないセイ質。
不用品	必要ないもの。
不用意	フヨウイ。
不登校	フトウコウ。
不登校児童	フトウコウジドウ。
不眠症	ネムれないショウ状。
不確定	はっきり決まっていないこと。
不細工	見た目がみにくい様子。
不経済	ケイザイ的でないこと。
不老不死	年をとらず、死にもしないこと。
不自然	普通と違っておかしい様子。
不自由	思い通りにならないこと。
不良	ヨくないこと。ならず者。
不良品	ヨくないもの。
不要	イらない。
不規則	キソク的ではないこと。
不親切	シンセツではないこと。
不言実行	あれこれ言わないでだまって行うこと。
不誠実	セイジツではないこと。
不調	チョウ子が悪いこと。
不買運動	商品などをカわないようにするウンドウ。
不起訴処分	フキソショブン。
不足	タりない。
不足気味	フソクギミ。
不透明感	フトウメイカン。
不通	交ツウ・ツウ信などが途絶えること。
不運	ウンが悪い。
不適切	テキセツではない。
不都合	ツゴウが悪い。
与党	政権を担当している政トウ。
与野党	ヨヤトウ。
世代	生まれた年の時期によって区別した年齢層。
世代交代	年齢の高い人を若い人で入れ替えること。
世帯	一つの住居で暮らす生計を同じくする集団。
世帯収入	セタイシュウニュウ。
世界	ワールド。
世界一	セカイでイチ番。
世界一周	地球をヒトまわり。
世界共通	セカイキョウツウ。
世界史	セカイの歴シ。
世界同時株安	セカイドウジカブヤス。
世界地図	セカイチズ。
世界市場	セカイシジョウ。
世界平和	セカイヘイワ。
世界情勢	セカイジョウセイ。
世界新記録	セカイシンキロク。
世界最大	セカイサイダイ。
世界有数	セカイユウスウ。
世界経済	セカイケイザイ。
世界経済危機	セカイケイザイキキ。
世界規模	セカイキボ。
世界記録	ワールドレコード。
世界選手権	セカイセンシュケン。
世界遺産	セカイイサン。
世相	ヨの中のありさま。「○○を反映」
世紀	キリスト誕生の年から100年単位の時代区画。
世紀末	セイキのスエ。
世話	面倒をみること。
世論	ヨロン。
世論調査	ヨロンチョウサ。
世辞	他人に対する愛想のよい言葉。「お○○はいりません」
世間	セケン。
世間体	セケンテイ。
世間話	セケンバナシ。
両側	リョウ方のガワ。
両岸	リョウ方のキシ。
両成敗	ケンカ○○○。
両手	右テと左テ。
両方	どちらも。
両替	お金の種類をカえること。
両替機	お金の種類をカえるキ械。
両生類	カエル、ヤモリ、トカゲなどの仲間。
両目	リョウ方のメ。
両立	「勉強と部活を○○させたい」
両者	リョウ方の人。
