# FILENAME: BasicDict-FRA-Freedom.tsv
# NAME-ENG: Basic French Freedom Dictionary, 10th Edition
# NAME-JPN: 基本辞書データ（フランス語、自由）第十版
# COPYRIGHT: None.
# LICENSE: The Unlicense
# NOTE: ABSOLUTELY NO WARRANTY. Based on https://github.com/hbenbel/French-Dictionary .
# DATE: 2021-12-13
Allemagne
Amérique
Ardenne
Artémision
Charente
Corée
Flandre
Gaule
Halloween
Hanoucca
Hanoukka
Hespéride
Hun
Inde
Maure
Moire
Norne
Néréide
Parque
Parthénon
RMIste
Russie
Sèvre
Thanksgiving
Véda
abaca
abacule
abaisse-langue
abaissement
abaisseur
abaissée
abajoue
abalone
abandon
abandonnataire
abandonnatrice
abandonnateur
abandonnement
abandonnisme
abaque
abarticulation
abasie
abasourdissement
abat
abat-carre
abat-feuille
abat-foin
abat-jour
abat-son
abat-vent
abatage
abattage
abattant
abattement
abatteuse
abatteur
abattoir
abatture
abattée
abatée
abbasside
abbatiale
abbatiat
abbaye
abbesse
abbevillienne
abbevillien
abbé
abdicataire
abdication
abdomen
abdominal
abducteur
abduction
abeillage
abeille
abeiller
abeillerole
abeillerolle
abeillier
abeillon
aber
aberrance
aberration
abessif
abillot
abime
abiogenèse
abiotrophie
abiétacée
abiétine
abiétin
abiétinée
abjection
abjuration
abkhaze
ablactation
ablatif
ablation
able
ableret
ablette
ablier
abloc
ablocage
ablutiomanie
ablution
ablégat
abnégation
aboi
aboiement
aboiteau
abolissement
abolisseur
abolition
abolitionnisme
abolitionniste
abomination
abondance
abondanciste
abondement
abonnement
abonnissement
abonnée
abonné
abord
abordage
abordeur
aborigène
abornement
abortif
abot
aboteau
abouchement
aboulie
aboulique
about
aboutage
aboutement
abouteuse
aboutissant
aboutissement
aboyeuse
aboyeur
abracadabra
abrasif
abrasion
abreuvage
abreuvement
abreuvoir
abri
abricot
abricotier
abricotine
abrivent
abrogation
abroutissement
abrutie
abruti
abrutissement
abrutisseuse
abrutisseur
abrègement
abréaction
abrégement
abrégé
abréviation
abréviative
abréviatif
abscisse
abscission
absence
absente
absent
absentéisme
absentéiste
abside
absidiole
absinthe
absinthine
absinthisme
absolu
absoluité
absolutif
absolution
absolutisation
absolutisme
absolutiste
absorbance
absorbeur
absorptiométrie
absorption
absorptivité
absoute
abstention
abstentionnisme
abstentionniste
abstinence
abstinente
abstinent
abstract
abstracteur
abstraction
abstractionnisme
abstrait
abstème
absurde
absurdisme
absurdiste
absurdité
abuseuse
abuseur
abysse
abyssine
abyssin
abyssinienne
abyssinien
abzyme
abâtardissement
abécédaire
abée
abélianisation
abêtissement
abîme
acabit
acacia
acadianisme
acadienne
acadien
académicienne
académicien
académie
académisme
académiste
acajou
acalèphe
acanthacée
acanthaire
acanthe
acanthocéphale
acanthoptérygien
acare
acaricide
acaride
acarien
acariose
acariâtreté
acatalasémie
acathisie
accablante
accablant
accablement
accalmie
accaparement
accapareuse
accapareur
accastillage
accastilleuse
accastilleur
accent
accenteur
accentuation
acceptabilité
acceptante
acceptant
acceptation
accepteur
acception
accesseur
accessibilité
accession
accessit
accessoire
accessoiriste
accident
accidentologie
accidentologue
accidentée
accidenté
accipitridé
accise
acclamation
acclamatrice
acclamateur
acclimatation
acclimatement
accointance
accolade
accolage
accolement
accommodante
accommodant
accommodat
accommodation
accommodement
accompagnatrice
accompagnateur
accompagnement
accomplissement
accon
acconage
acconier
acconière
acconier
accord
accordage
accordement
accordeuse
accordeur
accordoir
accordée
accordé
accordéon
accordéoniste
accostage
accot
accotement
accotoir
accouchement
accoucheuse
accoucheur
accouchée
accoudement
accoudoir
accouple
accouplement
accoupleuse
accoupleur
accourcissement
accourse
accoutrement
accoutumance
accouvage
accouveuse
accouveur
accro
accrobranche
accroc
accrochage
accroche
accroche-cœur
accroche-plat
accrochement
accrocheuse
accrocheur
accroissement
accroupissement
accréditation
accréditement
accréditrice
accréditeur
accrétion
accu
accueil
accul
acculturation
accumulateur
accumulation
accusatif
accusation
accusatrice
accusateur
accusée
accusé
accédante
accédant
accélérando
accélérateur
accélération
accélérine
accélérographe
accéléromètre
accélérométrie
ace
acerbité
acescence
achaine
achalandage
achalasie
acharnement
acharnée
acharné
achat
ache
acheminement
achemineuse
achemineur
acheteuse
acheteur
achigan
achillée
acholie
achondroplase
achondroplasie
achoppement
achromat
achromaticité
achromatisation
achromatisme
achromatopsie
achromie
achylie
achène
achète
achèvement
achéenne
achéen
achéménide
aciclovir
acidalie
acide
acidification
acidimètre
acidimétrie
acidité
acidocétose
acidose
acier
acinus
acinésie
aciérage
aciération
aciérie
aciériste
acmé
acné
acnéique
acolytat
acolyte
acomat
acompte
acon
aconage
aconier
aconit
