# 「★二重マス用ことわざカナ辞書.tsv」第一版　片山博文MZ
# This file is public domain software.
あたまかくしてしりかくさず
あたまのうえのはえをおえ
あつささむさもひがんまで
あとはのとなれやまとなれ
あばたもえくぼ
あぶはちとらず
あめふってじかたまる
あんずるよりうむがやすし
いしのうえにもさんねん
いしばしをたたいてわたる
いしゃのふようじょう
いそがばまわれ
いちふじにたかさんなすび
いっすんさきはやみ
いわぬがはな
うおごころあればみずごころ
うそからでたまこと
うそつきはどろぼうのはじまり
うそもほうべん
うまのみみにねんぶつ
えどのかたきをながさきでうつ
えびでたいをつる
えんのしたのちからもち
おごるへいけはひさしからず
おににかなぼう
おにのいぬまにせんたく
おにのめにもなみだ
おびにみじかしたすきにながし
おもいたったがきちじつ
おやのこころこしらず
かえるのこはかえる
かえるのつらにみず
かぜがふけばおけやがもうかる
かちゅうのくりをひろう
かってかぶとのおをしめよ
かっぱのかわながれ
かてばかんぐん
かねはてんかのまわりもの
かべにみみありしょうじにめあり
かほうはねてまて
かめのこうよりとしのこう
かもがねぎをしょってくる
かれきもやまのにぎわい
かわいいこにはたびをさせよ
きいてごくらくみてじごく
きくはいっときのはじきかぬはいっしょうのはじ
きじもなかずばうたれまい
きゅうしにいっしょうをえる
きよみずのぶたいからとびおりる
きをみてもりをみず
くさってもたい
くちはわざわいのもと
くるしいときのかみだのみ
くんしあやうきにちかよらず
けんえんのなか
けんかりょうせいばい
げいはみをたすける
こういんやのごとし
こうかいせきにたたず
こうぼうにもふでのあやまり
こうぼうふでをえらばず
ころばぬさきのつえ
ごうにいってはごうにしたがえ
さきんずればひとをせいす
さるもきからおちる
さわらぬかみにたたりなし
さんにんよればもんじゅのちえ
したしきなかにもれいぎあり
しっぱいはせいこうのもと
しゅにまじわればあかくなる
しょしんわするべからず
しらぬがほとけ
じごくのさたもかねしだい
すきこそもののじょうずなれ
すめばみやこ
せいてはことをしそんじる
ぜんはいそげ
ただよりたかいものはない
たつとりあとをにごさず
たでくうむしもすきずき
たなからぼたもち
たびのはじはかきすて
たんきはそんき
ちりもつもればやまとなる
ちんもくはきんゆうべんはぎん
つきとすっぽん
つるはせんねんかめはまんねん
てきはほんのうじにあり
てつはあついうちにうて
てんはにぶつをあたえず
でるくいはうたれる
とうだいもとくらし
ときはかねなり
ところかわればしなかわる
とびがたかをうむ
とらぬたぬきのかわざんよう
とんでひにいるなつのむし
どんぐりのせいくらべ
ながいものにはまかれろ
なきっつらにはち
なくてななくせ
なさけはひとのためならず
ななころびやおき
なまびょうほうはおおけがのもと
ならうよりなれろ
にかいからめぐすり
にがしたさかなはおおきい
にくまれっこよにはばかる
にげるがかち
にとをおうものはいっとをもえず
ぬかにくぎ
ぬれてであわ
ねこにこばん
のうあるたかはつめをかくす
のどもとすぎればあつさをわすれる
のれんにうでおし
はなよりだんご
はやおきはさんもんのとく
ひつようははつめいのはは
ひとのうわさもしちじゅうごにち
ひとのくちにはとがたてられない
ひとのふりみてわがふりなおせ
ひとはみかけによらぬもの
ひとをのろわばあなふたつ
ひのないところにけむりはたたぬ
ひゃくがいあっていちりなし
ひんすればどんする
びんぼうひまなし
ふうふげんかはいぬもくわない
ふえふけどもおどらず
ぶたにしんじゅ
へたなてっぽうもかずうちゃあたる
へたのかんがえやすむににたり
へたのよこずき
ぺんはけんよりもつよし
ほとけのかおもさんどまで
ほねおりぞんのくたびれもうけ
みいらとりがみいらになる
みからでたさび
みざるきかざるいわざる
みつごのたましいひゃくまで
みのるほどあたまのさがるいなほかな
むりがとおればどうりひっこむ
めくそはなくそをわらう
めのうえのこぶ
めはくちほどにものをいう
もちはもちや
もとのもくあみ
ももくりさんねんかきはちねん
やすものかいのぜにうしない
やせのおおぐい
やぶをつついてへびをだす
やまいはきから
よらばたいじゅのかげ
よわりめにたたりめ
らいねんのことをいえばおにがわらう
らくあればくあり
るいはともをよぶ
ろうおおくしてこうすくなし
ろんごよみのろんごしらず
ろんよりしょうこ
ろーまはいちにちにしてならず
わかいときのくろうはかってでもせよ
わたるせけんにおにはない
わらうかどにはふくきたる
われなべにとじぶた
わをもってとうとしとなす
