# 「基本辞書データ（英和、自由）.tsv」片山博文MZ
# This file is public domain software.
agony	苦悩。苦痛。
agreement	一致。同意。協定。契約。
agriculture	農業。農学。
aid	援助。助力。援助者。
aim	狙い。照準。
air	空気。
aircraft	航空機。
airfield	airportよりも小規模な飛行場。
airgun	空気銃。
airline	定期航空。航空会社。
airmail	航空便の手紙。
airplane	飛行機。
airport	空港。
Aladdin	アラジン。
alarm	警報。目覚まし時計。驚き。心配。
album	アルバム。
alchemist	錬金術師。
alchemy	錬金術
alcohol	アルコール。
ale	エール（ビールの一種）。
alert	警報。警戒。
Alexander	アレキサンダー。男子の名。
Alfred	アルフレッド。男子の名。
alga	藻、藻類（単数形）。
algae	藻、藻類（複数形）。
algebra	代数。代数学。
Algeria	アルジェリア。
alibi	アリバイ。
Alice	アリス。女子の名。
alien	外国人。よそ者。宇宙人。
alignment	一列に整列すること。一列に並んだもの。
alkali	アルカリ。
all	すべて。全部。
allergy	アレルギー。
alliance	同盟。
alligator	(アメリカの)ワニ。
allowance	手当て。小遣い。値引き。考慮。容認。
alloy	合金。純度。混合物。
ally	同盟国。同盟者。
almond	アーモンド。
alphabet	アルファベット。
Alps	(theをつけて)アルプス山脈。
altar	祭壇。
alternate	代理者。代行者。
alternative	どちらかを選ぶこと。二者択一。
altitude	高度。高さ。
alto	アルト。女声の最低音。
aluminum	アルミニウム。
AM	午前。
amateur	アマチュア。素人。
Amazon	(theをつけて)アマゾン川。
ambassador	大使。施設。
ambition	大望。野心。熱望。
ambulance	救急車。
ambush	待ち伏せ。
ameba	アメーバ。
amendment	改正。修正。改正案。
America	アメリカ。
American	アメリカ人。
ammonia	アンモニア。
amoeba	アメーバ。
amoebae	アメーバの複数形の一つ。
amp	電流の強さの単位。アンペア。
ampere	電流の強さの単位。アンペア。
amphibian	両生類。水陸両用。
amplifier	増幅器。アンプ。
Amsterdam	アムステルダム。
amusement	楽しみ。娯楽。
Amy	エイミー。女子の名。
analysis	分析。分解。
anarchism	無政府主義。
anarchist	無政府主義者。
anarchy	無政府状態。
ancestor	先祖。祖先。
anchor	船のいかり。最後の走者。アンカー。
ancient	古代人。
Andersen	アンデルセン。
Andrew	アンドリュー。男子の名。
angel	天使。
anger	怒り。
angle	角度。角。かど。
animal	動物。
animation	動画。アニメーション。
ankle	くるぶし。足首。
Ann	アン。女子の名。
Anna	アンナ。女子の名。
announcer	アナウンサー。告知者。
annoyance	困惑。迷惑。やっかいなこと。
annual	年報。年間。一年生植物。
another	別のもの。もう一つのもの。
answer	答え。返事。
ant	昆虫のアリ。
Antarctica	南極大陸。
antenna	アンテナ。
antennae	アンテナの複数形。
Anthony	アンソニー。アントニー。男子の名。
anthropologist	人類学者。
anthropology	人類学。
antibiotic	抗生物質。
antibody	抗体。
antimony	アンチモン。
antique	古いもの。骨董品。
Antony	アントニー。アントニウス。男子の名。
antonym	反意語。
ants	昆虫のアリの複数形。
anxiety	心配。不安。懸念。切望。熱望。
any	どれでも。
anybody	だれか。だれも。だれでも。
anyone	だれか。だれも。だれでも。
anything	何か。何も。何でも。
apartment	一家族分の部屋。アパートの一室。
ape	類人猿。
apeces	apexの複数形の一つ。
apex	頂点。頂上。先端。
apexes	apexの複数形の一つ。
Apollo	アポロ。
apology	謝罪。言い訳。弁護。
apostrophe	アポストロフィー。
apparatus	器具。器官。
appeal	懇願。訴え。魅力。控訴。上告。
appearance	出現。出演。外見。
appendix	付録。追加。盲腸。
appetite	食欲。欲望。好み。
applause	拍手かっさい。賞賛。
apple	リンゴ。
appliance	器具。器械。装置。
applicant	志願者。応募者。
application	応用ソフト。アプリ。
appointment	約束。予約。
appreciation	正しく評価すること。鑑賞。感謝。値上がり。
apprentice	見習い。初心者。
approach	接近。近づく道。入り口。研究法。取り組み。
approval	賛成。認可。許可。
Apr	四月。
April	四月。
aptitude	才能。素質。傾向。習性。適性。
aquarium	水族館。魚などを入れる水槽。
Ar	アルゴンの元素記号。
AR	アーカンソー州。
Arab	アラブ人。
Arabia	アラビア。
Arabian	アラビア人。アラビア語。
arc	弧。円弧。弓形。
arcade	アーケード。
arch	アーチ。弓形の門。
archer	射手（いて）。弓術家。
archery	アーチェリー。弓術。
architect	建築家。設計技師。創始者。
architecture	建築。建築物。建築学。建築様式。
arctic	(theをつけて)北極地方。
are	アール。面積の単位。
area	面積。地域。地方。範囲。
Argentina	アルゼンチン。
Argentine	アルゼンチン人。
argon	化学物質のアルゴン。
argument	議論。口論。論拠。論証。要旨。
Aristotle	アリストテレス。古代ギリシャの哲学者。
arithmetic	算数。算術。
Ariz	アリゾナ州。
Arizona	アリゾナ州。
ark	箱舟。
Arkansas	アーカンソー州。
arm	腕。前足。武器。
armadillo	アルマジロ。
Armenia	アルメニア。
Armenian	アルメニア人。アルメニア語。
armistice	休戦。停戦。
armor	よろいかぶと。
armory	兵器庫。兵器工場。
armour	よろいかぶと。
army	軍隊。集団。
Arnold	アーノルド。男子の名。
aroma	香り。におい。芳香。
arrangement	整理。整とん。配置。協定。取り決め。準備。
array	一続き。配列。
arrest	逮捕。検挙。
arrival	到着。到着者。到着物。
arrogance	ごう慢さ。
arrow	矢。矢印。
art	芸術。美術。技能。
Artemis	アルテミス。ギリシャ神話における、月と狩猟の女神。
artery	動脈。幹線。
arthropod	節足動物。
Arthur	アーサー。男子の名。
article	品物。記事。冠詞。
artifice	器用さ。策略。
artist	芸術家。
asbestos	石綿。アスベスト。
ash	灰。
ashtray	灰皿。
Asia	アジア。
Asian	アジア人。
asparagus	アスパラガス。
aspect	表情。局面。状況。向き。
asphalt	アスファルト。
aspirin	アスピリン。
ass	ロバ。
assault	猛攻撃。強襲。暴行。
assembly	会合。会議。
assent	同意。賛成。
assertion	主張。断言。言い分。
assignment	割り当て。任命。宿題。研究課題。
assistance	手伝い。助力。援助。
assistant	助手。補佐員。店員。
association	交際。協会。連想。
assumption	仮定。想定。仮説。傲慢。でしゃばり。
assurance	保証。確信。自信。
astonishment	驚き。驚くべきこと。
astrology	占星学。
astronaut	宇宙飛行士。
astronomer	天文学者。
astronomy	天文学。
Athena	知恵・芸術・戦術の女神アテナ。
Athenian	アテネ人。
Athens	ギリシャの首都アテネ。
athlete	運動選手。競技者。
athletics	運動競技。体育。
Atlantic	(theをつけて)大西洋。
atlas	地図帳。
atmosphere	大気。空気。雰囲気。
atom	原子。
attachment	付着。付属品。愛情。
attack	攻撃。襲撃。発病。発作。
attacker	攻撃者。
attempt	試み。企て。
attendance	出席。参列。出席者。付き添い。看護。世話。
attendant	付き添い人。出席者。係員。案内係。
attention	注意。気をつけ。世話。手当て。親切。
attic	屋根裏。屋根裏部屋。
attitude	態度。心構え。姿勢。
attorney	弁護士。
attraction	魅力。呼び物。引力。
attribute	属性。特質。
attrition	摩擦。消耗。
auction	競売。せり売り。
audience	聴衆。観客。公式会見。
audio	音声。音の発信・受信・再生。
audition	オーディション。
auditorium	客席。講堂。
Aug	８月。
August	８月。
aunt	おば。
aurora	オーロラ。
Australia	オーストラリア。
Australian	オーストラリア人。
Austria	オーストリア。
Austrian	オーストリア人。
author	著者。作家。創始者。
authority	権威。権威者。権限。当局。
auto	自動車。
autograph	自筆の署名。サイン。
automation	自動操作。オートメーション。
automobile	自動車。
autumn	秋。
auxiliary	補助。助動詞。
avail	利益。効用。
avantgarde	(theをつけて)アバンギャルド。
Ave	``～ Maria''
avenue	大通り。...街。並木道。
average	(aかtheをつけて)平均。平均値。
aviation	飛行。航空。航空機。航空技術。
aviator	飛行士の古い言い方。
award	賞。賞品。賞金。裁定。判定。
awareness	自覚。
awe	畏敬の念。
ax	おの。まさかり。
axis	軸。枢軸。
axle	心棒。回転軸。
aye	賛成。賛成投票者。
AZ	アリゾナ州。
azure	空色。
Ba	バリウムの元素記号。
Babel	``The tower of ～''
baby	赤ちゃん。
Babylon	バビロン。
babysitter	子守をする人。
Bacchus	酒の神バッカス。
Bach	ドイツの大作曲家。
bachelor	独身者。学士。
back	後ろ。背中。
backbone	背骨。気骨。精神力。
background	背景。事情。経歴。
bacon	ベーコン。
bacteria	細菌。バクテリア。
badge	記章。バッジ。
badminton	バドミントン。
badness	悪いこと。不良。劣悪。
bag	袋。バッグ。
baggage	手荷物。(軍隊・探検隊の)装備。
bail	保釈。保釈金。
bait	えさ。おとり。誘惑。
baker	パン屋。パン焼き職人。
baking	パン・ケーキを焼くこと。一焼き分の量。
balance	つりあい。均衡。てんびん。差額。
balcony	バルコニー。露台。
ball	球。ボール。球技。
ballad	バラッド。民謡。
ballerina	バレリーナ。女性バレエダンサー。
ballet	バレエ。
balloon	気球。風船。
ballot	投票用紙。投票。投票総数。
bamboo	竹。竹材。
ban	禁止。禁止令。
banana	バナナ。
band	ひも。バンド。しま。線。筋。周波数帯。
bandage	包帯。巻き布。
bandit	無法者。盗賊。追いはぎ。
bang	ズドン、ドガンのような音。強打。一撃。
banish	追放する。流刑にする。
bank	銀行。貯金箱。貯蔵所。
bankbook	銀行通帳。
banker	銀行家。銀行営業者。胴元。
bankrupt	破産者。
bankruptcy	破産。倒産。破綻。
banner	旗。軍旗。垂れ幕。横断幕。大見出し。
banquet	宴会。祝宴。ごちそう。
baptism	先例。
bar	棒。棒状の物。かんぬき。横木。柵。障害。縦線。酒場。バー。
barbarian	野蛮人。未開人。
barbecue	バーベキュー。
barbell	（重量挙げの）バーベル。
barber	理髪師。床屋。理容師。
barbershop	床屋。理髪店。
bargain	安売り。特価品。売買契約。取引。
baritone	テナーとバスの中間の男声。バリトン。
barium	バリウム。
bark	ほえる声。怒鳴り声。銃声。
barley	大麦。
barn	納屋。家畜小屋。``Where you born in a ～?''
barometer	気圧計。バロメーター。指標。
baron	男爵。
barrel	たる。１たるの分量。銃身。砲身。
barricade	障害物。バリケード。
barrier	障害。柵。障壁。さまたげ。
base	土台。塁。ベース。
baseball	野球。
