# FILENAME: BasicDict-JPN-Kana-Kotowaza.tsv
# NAME-ENG: Japanese Kana Kotowaza Sub-Dictionary, 12th Edition
# NAME-JPN: 二重マス用ことわざカナ辞書　第十二版
# COPYRIGHT: (C) 2013-2022 katahiromz.
# LICENSE: MIT
# NOTE: ABSOLUTELY NO WARRANTY.
# DATE: 2022-06-20
ああいえばこういう
あいきょうをふりまく
あいそがつきる
あいたくちがふさがらぬ
あいだにたつ
あいづちをうつ
あいてのないけんかはできぬ
あおじろきいんてり
あおなにしお
あおはあいよりいでてあいよりあおし
あかいいとでむすばれる
あかがぬける
あかごのてをひねる
あきかぜがたつ
あきなすはよめにくわすな
あくがつよい
あくせるをふむ
あくせんみにつかず
あくたいをつく
あくむからさめる
あぐらをかく
あけてもくれても
あげあしをとる
あげくのはて
あごでつかう
あさおきはさんもんのとく
あしのふみばもない
あしもとをみる
あしをすくわれる
あしをとられる
あしをのばす
あしをはこぶ
あしをむけてねられない
あじをおぼえる
あすはわがみ
あせのけっしょう
あせをかく
あせをながす
あたってくだけろ
あたまかくしてしりかくさず
あたまがあがらない
あたまがいたい
あたまがきれる
あたまがさがる
あたまにいれる
あたまにくる
あたまのうえのはえをおえ
あたまのかいてんがはやい
あたまのくろいねずみ
あたまのなかがしろくなる
あたまをいためる
あたまをかかえる
あたらずといえどもとおからず
あたるもはっけあたらぬもはっけ
あちらをたてればこちらがたたぬ
あっけにとられる
あっというま
あついものがこみあげる
あつささむさもひがんまで
あつものにこりてなますをふく
あつりょくをかける
あてがはずれる
あてにする
あとあしですなをかける
あとかたもない
あとがこわい
あとがない
あとにする
あとにひけない
あとはのとなれやまとなれ
あとをおう
あながあったらはいりたい
あなのあくほど
あなをあける
あばたもえくぼ
あぶないはしをわたる
あぶはちとらず
あぶらがのる
あぶらをうる
あほうにつけるくすりなし
あまいしるをすう
あまりものにふくがある
あめとむち
あめふってじかたまる
あやまちをあらためざるこれをあやまちという
あるわあるわ
あんずるよりうむがやすし
あんてなをはる
いいえてみょう
いいこになる
いいせんをいく
いうだけやぼ
いうにおよばず
いうはやすくおこなうはかたし
いうまでもない
いかがなものか
いかりしんとうにはっする
いきうまのめをぬく
いきおいにのる
いきがあう
いきがかよう
いきがたえる
いきがつまる
いきたここちもしない
いきのねをとめる
いきはじをさらす
いきをきらす
いきをのむ
いきをふきかえす
いくじがない
いさいをはなつ
いざかまくら
いざというとき
いしのうえにもさんねん
いしばしをたたいてわたる
いしゃのふようじょう
いしょくたりてれいせつをしる
いしをつぐ
いじになる
いじをはる
いそがばまわれ
いたいところをつく
いたいのいたいのとんでいけ
いたいめにあう
いたくもかゆくもない
いたくもないはらをさぐられる
いたにつく
いたれりつくせり
いちえんをわらうものはいちえんになく
いちかばちか
いちからじゅうまで
いちにをあらそう
いちふじにたかさんなすび
いちもんにもならない
いちよくをになう
いちをきいてじゅうをしる
いっかんのおわり
いっきょりょうとく
いっこくをあらそう
いっしまとわず
いっしみだれず
いっしょうにふす
いっしょになる
いっしをむくいる
いっすんさきはやみ
いっすんのこういんかろんずべからず
いっせきをとうじる
いっせんをこえる
いっせんをまじえる
いったんをになう
いっぱいくわせる
いっぽすすめる
いっぽもひかぬ
いっぽゆずる
いっぽをふみだす
いっぽをゆずる
いつまでもあるとおもうなおやとかね
いとめをつけない
いとをひく
いにあながあく
いぬのとおぼえ
いのちがつきる
いのちをおとす
いのちをかける
いのちをけずる
いのちをつなぐ
いのなかのかわずたいかいをしらず
いのまま
いひょうをつく
いぶくろをつかむ
いまにみていろ
いまはむかし
いやおうなし
いやけがさす
いやというほど
いろけよりくいけ
いろめをつかう
いわしのあたまもしんじんから
いわぬがはな
いわんこっちゃない
いをとなえる
うおごころあればみずごころ
うそからでたまこと
うそつきはどろぼうのはじまり
うそもほうべん
うまのみみにねんぶつ
えどのかたきをながさきでうつ
えびでたいをつる
えんのしたのちからもち
おごるへいけはひさしからず
おににかなぼう
おにのいぬまにせんたく
おにのめにもなみだ
おのれのほっせざるところはひとにほどこすことなかれ
おびにみじかしたすきにながし
おもいたったがきちじつ
おやのこころこしらず
かえるのこはかえる
かえるのつらにみず
かぜがふけばおけやがもうかる
かちゅうのくりをひろう
かってかぶとのおをしめよ
かっぱのかわながれ
かてばかんぐん
かねはてんかのまわりもの
かべにみみありしょうじにめあり
かほうはねてまて
かめのこうよりとしのこう
かもがねぎをしょってくる
かれきもやまのにぎわい
かわいいこにはたびをさせよ
かんぺき
がしんしょうたん
がりょうてんせいをかく
がんちゅうにない
きいてごくらくみてじごく
きかおくべし
きがあう
きがおもい
きがきく
きがきでない
きがちいさい
きがとおくなる
きがはやい
きがひける
ききずてならない
きくはいっときのはじきかぬはいっしょうのはじ
きくみみをもたない
きじもなかずばうたれまい
きたるものはこばまず
きってもきれない
きではなをくくる
きのうのてきはきょうのとも
きのうはひとのみきょうはわがみ
きまえがよい
きゅうしにいっしょうをえる
きゅうをようする
きゆう
きょうべんをとる
きょせいをはる
きよみずのぶたいからとびおりる
きをくばる
きをみてもりをみず
ぎもんふがつく
ぎょふのり
くあればらくあり
くうかくわれるか
くぎをさす
くさってもたい
くちからでまかせをいう
くちがすべる
くちぐるまにのる
くちはわざわいのもと
くちばしがきいろい
くちびるをかむ
くちをすっぱくする
くにくのさく
くにやぶれてさんがあり
くびがまわらない
くらがたつ
くらくをともにする
くるしいときのかみだのみ
くんしあやうきにちかよらず
くんしはひょうへんす
ぐうのねもでない
ぐのこっちょう
ぐんばいをあげる
ぐんもんにくだる
けいこうとなるともぎゅうごとなるなかれ
けいぞくはちからなり
けがのこうみょう
けたがちがう
けむにまく
けりをつける
けんえんのなか
けんかりょうせいばい
けんぜんなるせいしんはけんぜんなるしんたいにやどる
げいはみをたすける
げきりんにふれる
げんをかつぐ
こいはもうもく
こういんやのごとし
こうかいさきにたたず
こうかふこうか
こうぼうにもふでのあやまり
こうぼうふでをえらばず
こうをそうする
こえなきこえ
こえをあげる
こきゅうをあわす
こくびをかしげる
こけつにいらずんばこじをえず
こけんにかかわる
こころがはれる
こころがひかれる
こころをうばう
こしがぬける
こしをあげる
こととしだいによる
ことなきをえる
ことばがすぎる
ことばがたりない
こどもはかぜのこ
このおやにしてこのこあり
こばらがすく
こびをうる
ころばぬさきのつえ
こわいものしらず
こんやのしろばかま
ごうにいってはごうにしたがえ
ごじっぽひゃっぽ
ごたくをならべる
ごまをする
さいおうがうま
さいげつひとをまたず
さいしょでさいご
さいはなげられた
さいふのひもがかたい
さきんずればひとをせいす
さくしさくにおぼれる
さくをこうずる
さけにのまれる
さじょうのろうかく
さじをなげる
さばをよむ
さまになる
さるもきからおちる
さるものはおわず
さわらぬかみにたたりなし
さんしょうはこつぶでもぴりりとからい
さんどのめしよりすき
さんどめのしょうじき
さんにんよればもんじゅのちえ
さんびょうしそろう
さんぼんのやのおしえ
ざまあみやがれ
しあんにくれる
しかばねにむちうつ
しきいがたかい
ししのこおとし
ししゃにむちうつ
しせんをそそぐ
したがこえる
したしきなかにもれいぎあり
したつづみをうつ
しっしょうをかう
しっぱいはせいこうのもと
しっぽをつかむ
しっぽをまく
しのぎをけずる
しふくをこやす
しまつがわるい
しめんそか
しゃかにせっぽう
しゅうしふをうつ
しゅちゅうにおさめる
しゅにまじわればあかくなる
