# 「基本辞書データ（ロシア、自由）.tsv」片山博文MZ
# This file is public domain software.
# ロシアであまり一般的でない単語は削除して下さい。
а
абсолютно
абсурд
абсурдный
авалон
авантюра
август
австралия
австрийский
автобус
автобусах
автобусная
автобусов
автомат
автоматы
автор
автострада
ага
аграрное
агроном
адвокат
адраспан
адрес
аити
айзада
академическая
акиры
аккомпанемент
аккуратно
аккуратный
актер
актера
активная
активность
активную
активный
актрис
актриса
актрисс
актрисы
актртса
актёр
актёров
актёрский
акцентом
алкоголь
альбом
альпах
альпинизм
альпинист
альпы
амазон
амбиции
америка
американские
американский
американских
амулет
анализировать
ангина
ангкор
англ
английский
англия
аниме
анкета
аннулировать
анонимный
аодзора
апельсин
апогей
аппарат
аппетит
апрель
аптека
арабской
арбуз
арена
аренда
арест
арестованным
арестовать
аристократия
армией
армии
армия
артист
артиста
артистка
архив
асикагой
аспирант
атаковать
атлетика
атмосфера
атмосферное
атомный
аттракцион
аудио
аудиогид
аудиозапись
аудитория
аутлет
аферист
ах
аэробика
аэропорт
б
баба
бабочка
бабушка
багаж
бад
бадминтон
база
базар
базовые
байдарках
баклажан
баланс
балет
бали
бамбук
банан
банк
банка
банкнота
бар
барабан
барбекю
баркод
баскетбол
батат
баттерфляй
батуте
башни
башня
бег
бега
бегать
бегемот
беглец
бегло
беговая
бегу
бегун
бегуны
бедный
бедствие
бежать
без
безделье
бездельничать
бездушный
беззаботно
беззаботный
безнадёжный
безопасность
безопасный
безработный
безразличный
безсловно
безымянный
бейсбол
бейсболист
бейсболиста
белка
белки
беллетристика
белоснежный
белый
берег
берегите
беременных
беречь
беседа
беситься
бесконечный
беспечно
бесплатная
бесплатный
беспокоить
беспокоиться
беспокойный
беспокойство
бесполезный
беспорядке
беспричинно
бессмертно
бессмертный
бессмысленно
бесспорно
бещать
библ
библиотека
бизнес
бизнесмен
билет
билета
билетов
битва
битвы
бить
биться
бифштекс
благодарить
благодарность
благодарю
благоприятные
благоразумный
бланк
блеск
блестеть
блестящее
близкий
близких
близко
блистать
блондинка
блузка
блюда
блюдо
блюду
боб
бобовой
бобы
бог
богатый
богов
бодрящий
боевого
боевое
боевой
боевом
боевые
боевых
бой
бойкий
бок
бокал
бокс
боксинг
бокэ
более
болезнь
болен
болеть
болтовня
боль
больна
больница
больной
большая
больше
большим
большинство
большое
большой
бонапарт
борис
борьба
босоножки
ботинки
бочковое
боя
бояться
брак
брат
брать
брелок
брендовые
бриться
бронирование
бронь
бросать
бросаться
бросить
броситься
брошка
брошюра
брюки
буддизм
буддийский
будто
будущего
будущее
будущем
будьте
буква
букет
булка
булочка
бум
бумага
бумажник
бумажные
бурный
бусы
бутылка
буфет
бы
бывать
бывший
было
быстрее
быстро
быстрый
бытие
быть
бюджета
в
вагнер
вагон
вагона
важно
важность
важный
ваза
вака
вакамэ
валькирия
валюта
валяться
вам
вами
ванна
ванная
ванны
вареная
вареной
варить
варёные
варёный
вас
ват
ватт
ваш
вблизи
вв
введите
вверх
ввп
вдоволь
вдоль
вдруг
веб
ведь
вежл
вежливая
вежливое
вежливый
везде
век
века
веко
веков
великий
великодушный
великолепно
великолепный
величина
велосипед
велоспорт
вера
верблюд
вереницей
верить
верно
верность
вернуть
вернуться
верный
вероника
вероятно
версия
вертел
вертеть
вертикальный
вертолёт
верхняя
вершина
вершине
вершины
вес
веселиться
весело
веселый
веселье
весельчак
весенний
весна
весной
вести
весь
весьма
весёлый
ветер
ветеран
вечер
вечером
вечность
вещать
вещей
вещь
взаимообмен
взамен
взгляд
взглянуть
вздох
вздохнуть
вздыхать
взлётов
взрослеть
взрослый
взять
вид
вида
виде
видео
видеосайт
видеть
видимо
видимость
видна
видно
видов
виду
виды
виза
визит
виктория
вилка
вилла
вино
виноград
висеть
виски
висячему
висячий
витамин
вишня
вкл
включать
включая
включён
вкус
вкустно
владения
владеть
вламываться
власти
власть
влезать
вление
влечение
влияние
влиятельный
вложить
влюблен
вместе
вместо
вмешивать
вначале
вне
внезапная
внезапно
внезапный
внести
внешний
внешность
внешняя
вниз
внимание
внимания
внимательно
внимательный
вновь
внук
внутренний
внутри
внучка
во
вовлекать
вовремя
вовсе
вода
воде
водитель,
водить
водиться
водка
водное
водой
водопад
воду
воды
водяной
воевать
военачальник
военная
военный
военных
возбуждаться
возведённый
возврат
возвратиться
возвращать
возвращаться
возвращение
возвышаться
возглавлявшие
возглавляющий
воздействие
воздух
воздухе
возле
возлюбленная
возлюбленный
возмещать
возможен
возможно
возможность
возможный
возникать
возникновение
возникнуть
возникшей
возобновление
возражать
возраст
возраста
возрасте
войн
война
войны
войска
войско
войти
вокзал
вокзала
вокзалом
вокруг
волейбол
волк
волна
волнение
волнений
волнения
волнительная
волновать
волноваться
волнующий
волнуясь
волонтёр
волос
волшебная
волшебное
вольная
вольный
вольт
воля
вон
вонзать
воображать
вообще
воодушевиться
воодушевление
воодушевлять
вопреки
вопрос
ворона
ворот
ворочаться
восемь
воскресенье
воспитание
воспитывать
воспоминание
воспринимать
восток
восторгаться
вострог
восхищать
восхищаться
восход
восходитель
восхождение
восхождения
восьми
вот
воюющих
впадать
впадине
впервые
вперед
впереди
вперёд
впеча
впечатление
впечатления
впечатлить
впечатлиться
впечатляться
впечатляющий
впечатлённым
вписать
вписывать
впитывать
вплотную
вполне
впоследствии
впредь
впрочем
впрыгивать
впутывать
враг
врагу
врач
времена
времени
время
вроде
врываться
вс
все
всегда
всего
всемирный
всеобщий
всерьёз
всесторонний
всех
вскоре
вскрывать
вслух
всовывать
вспоминать
вспомнить
вспыльчивый
вставать
вставьте
встать
встретить
встретиться
встреча
встречать
встречаться
встречи
вступительный
вступить
всю
всюду
вся
всякое
всяком
всё
всём
вт
вталкивать
вторая
вторгаться
вторник
второго
второй
вулкан
входить
вчера
вы
выберите
выбирать
выбора
выбрав
выбранному
выбрать
выброс
вывести
выглядеть
выглядящий
выгодная
выгодно
выгодный
выделенные
выделять
выдерживать
выдумка
выезд
выездное
выемка
вызвать
вызов
вызывает
вызывать
выиграть
выйти
выкладывать
выключатель
выключаться
вылечиться
вымирающие
вымышленная
вынимать
выносить
выписать
выпить
выполнение
выполнить
выполнять
выпуска
выпускать
выпускник
выражать
выражаться
выражение
выражения
выразить
вырасти
вырос
высказывание
высмеивать
высокая
высокий
высокими
высоко
высокомерие
высота
высоте
высочайшая
высочайшей
выстраиваться
выстроиться
выступать
выступающий
выступить
выступление
выступления
вытирать
выуить
выход
выхода
выходить
выходной
выходные
выходящий
выше
выясните
выяснить
выяснять
вьентьян
вьетнам
вьетнама
вялый
г
гавайский
гадание
газ
газа
газета
газете
газированная
гайдбук
галстук
гандбол
ганди
гараж
гарри
гвоздь
где
гейши
генерал
гений
германия
героини
героиня
герой
гестапо
гибель
гибкий
гигиена
гид
гимнастика
гифу
гл
глава
главная
главный
гладко
глаз
глаза
глиняным
глобализация
глубина
глубокий
глубоко
глупое
глупость
глупый
глядеть
глядя
гнить
говори
говорит
говорится
говорить
говоришь
говоря
год
года
годзилла
годичный
годы
голландец
голова
голову
голос
голосовать
голубое
голубой
гольфы
гонок
гор
гора
горбуша
гордиться
гордости
гордость
гореть
горечь
горки
горле
горная
горного
горнолыжной
горнолыжный
горный
горных
город
города
городе
городок
горок
горох
гору
горчица
горы
горькие
горячая
горячей
горячие
горячий
горячими
горячо
господин
госпожа
гостиная
гостиница
гость
государство
готов
готовить
готовиться
готовый
грабитель
грабить
грабёж
градус
гражданин
грамм
граница
границе
границей
границу
график
графика
гребля
грегори
греко
гречневой
грешно
гриб
грибы
грим
грин
грозить
громко
громкой
громоздкий
грот
грубый
грудь
грузить
группа
группировка
грусть
груша
губа
губы
гулять
гуляют
гумма
д
да
давай
давать
давление
давно
даже
дай
далекий
далеко
дальнейшем
дама
данная
данной
данном
данные
данный
дарить
дата
дать
дача
два
двадцать
две
дверная
дверь
двигательные
двигать
двигаться
двигаясь
движение
движения
двое
двойной
двор
дворец
дворянство
двумя
двухэтажный
девочка
девушка
девушки
девять
дед
дедлайн
дедушка
действие
действительно
действия
действиям
действовать
действующие
декабрь
декада
декорация
декорировать
дел
дела
делали
делать
делающий
деле
делить
делиться
дело
деловитый
дельфин
денег
день
деньги
дерева
деревня
дерево
деревьями
деревянный
держать
держаться
десятков
десяток
десять
деталь
детально
детальный
детектив
дети
детская
детские
детский
детство
детьми
дефицит
дешево
деятельности
деятельность
джедай
джедая
джонни
джунглей
джунгли
дзюдо
дзёэцу
диабет
диагноз
диагностика
диалект
диалог
диалога
диалогов
диван
диета
диете
диеты
дизайн
дизайнер
диктант
диктовать
диктор
динамично
династия
дипломат
директор
дирижиравоть
дисконт
дисплее
дисс
дистанция
длина
длинный
длительное
длиться
для
дней
дни
дно
дня
днях
до
добавить
добавленных
добавлять
добавок
добиваться
доброе
добросовестно
доброта
добры
добрый
доверие
доверять
доводить
доволен
довольно
довольный
довольным
довольство
догадка
догадываться
догонять
дождливый
дождь
доклад
доктор
доктрина
документ
докучать
долгий
долго
долгосрочно
должен
должный
долина
долине
доля
дом
дома
домашнее
домик
домой
домочадцы
донести
допоздна
дополнение
дорога
дороге
дороги
дорогое
дорогой
дорожка
дорожный
доска
дословно
доставать
доставка
доставленным
доставлять
достало
достаточно
достать
достижение
достижении
достоинство
достойный
доступ
доступно
досуга
досыта
дот
доходить
дочка
дочь
др
дракон
драма
драматический
драматичный
древесный
древнем
древние
друг
друга
другие
другим
других
другого
другое
другой
другом
другу
друзей
друзья
дует
думает
думаете
думать
думающий
дурак
дурацкий
дурачок
дух
духа
духе
духов
душа
душевный
души
дым
дыня
дыра
дыхание
дядя
евгения
евро
европе
европейское
египта
египте
его
еда
едва
единица
единственно
единственный
единый
едят
ежедневно
ежедневный
ездить
елка
ему
если
естественно
есть
ехать
еще
ещё
её
ж
жаждать
жалка
жалко
жалоба
жаловаться
жаль
жалюзи
жан
жанр
жанре
жареная
жарить
жарко
жасмином
ждать
же
желание
желать
железная
железный
желеобразное
желтеть
желтый
жена
жене
жениться
женский
женственный
женщин
женщина
жены
жест
жестикуляция
жестокий
жечь
живое
живой
живописное
живопись
живот
живота
живу
живущий
жизни
жизнь
жизнью
жилет
жилой
жильё
жир
жираф
жирный
жителей
жители
житель
жить
жребий
журнал
журналист
жутко
за
забавляться
забастовка
заблудиться
заболевание
заботиться
забронировать
забывает
забывай
забывать
забыть
заведение
заведения
заведование
завершать
завершение
завидный
зависеть
зависимости
зависит
завод
завтра
завтрак
завыть
завышенной
завязанного
загадка
заговорить
заголовок
загород
заграница
заграницей
задавать
задание
задача
задевать
задержанным
задерживать
задержка
задетым
задира
задний
задумываясь
заехать
зайти
заказ
заказа
заказам
заказывать
закалять
заканчивать
заканчиваться
закате
закладка
заключать
заключение
закон
закончить
закончиться
закричать
закрывать
закрываться
закрыт
закрытие
закрыть
закрыться
закусочная
зал
заметил
заметить
заметка
замечательный
замечать
замирает
замок
замысел
замысла
занавес
занимать
заниматься
заново
занятие
занятия
занятой
заодно
запах
записи
записывать
запись
заплатить
запоздалая
заполните
заполнять
запор
запрашивать
запрет
запретно
запрещать
запрещение
запугивать
запутывать
запчасть
заранее
зарплата
зарядку
заслуженный
засорять
застой
застревать
затем
зато
затор
затрагивается
затрагивающий
затруднение
захватывать
заходить
захоронения
зачем
зачёт
защищать
заявление
заяц
звать
звезда
звездочкой
звонить
звук
звуком
звёздные
звёздных
зд
здание
здания
здесь
здорово
здоровый
здоровье
здоровья
здрасти
зебра
зелени
зеленый
зелёный
земля
землёй
земной
зеркало
зерно
зернышко
зима
зимний
зимой
злиться
злюка
змея
знак
знакомить
знакомиться
знакомого
знакомой
знакомство
знакомый
знакомых
знаменитое
знаменитость
знаменитый
знания
знать
значение
значимость
значительно
значить
знаю
знающий
зовут
золотая
золотистый
золото
золотой
золотым
зона
зоне
зоомагазин
зрелый
зрения
зуб
зубная
зубы
зумба
и
ибо
иваси
игра
играать
играть
игровые
игрок
игры
идеал
идеально
идея
идзакая
идиома
идти
идущий
идёт
иерархия
иероглиф
из
избавиться
избирать
избыток
извержение
известие
известна
известная
известное
известный
извещение
извинение
извините
извинить
извинять
изготовитель
изготовленный
изд
издавать
издаваться
издание
издающийся
изделие
изделия
излагать
излишек
излишне
изложение
изложить
измельчения
изменение
изменять
изменяться
измерения
изо
изображать
изображающая
изображение
изображению
изображениям
израсходовать
изрядно
изучать
изучение
изучения
изучить
изъян
изычать
изящный
икра
или
иллюминация
имбирь
имена
именно
иметь
имею
иммигрировать
император
империи
империя
имя
иначе
инвалидов
инглиш
ингредиент
ингредиентов
ингридиенты
индивидуально
индийская
индийского
индия
индонезия
индуизм
инженер
инжир
иногда
иной
инопланетянин
иностранной
иностранный
институт
инструктор
инструмент
интервью
интерес
интересно
интересный
интонацией
интревью
инфантильный
информации
информация
информировать
инцидент
исикава
искать
исключать
исключительно
искренне
искренний
искусный
искусств
искусства
искусство
испания
испанское
исповедовать
исполнение
исполнитель
исполнять
использовали
использована
использования
использованы
использовать
используемая
используемое
используемый
используется
используя
испортить
исправлять
испуганным
испытания
испытывать
исскуства
иссл
исследование
истинно
истинное
истории
историческая
исторические
исторический
историческое
историю
история
источник
источниками
источники
исходная
исходное
исходной
исчезнуть
итальянская
итальянский
итиба
итикава
итог
итоге
их
июль
июнь
й
йен
йены
йога
йорк
к
ка
кабинет
кабуки
каждой
каждый
кажется
казаться
казахстан
как
какао
какая
какие
каким
какого
какое
какой
каллиграфия
калории
кальмар
камбала
камбоджа
камбодже
каменная
камень
камомэ
кампания
канада
канадзава
каналы
каникулы
каноэ
кансай
капитан
каплями
капризный
капуста
каракатица
карандаш
карась
карате
кардио
кариес
карман
кармен
карп
карта
картина
картинка
картины
картофеля
карточка
картошка
касательно
касаться
касающиеся
касающийся
касса
кастрюля
катагири
каталог
каталогам
кафе
кафедра
качать
качели
качестве
качество
квадрат
квалификация
квартал
квартала
квартира
кгв
кеды
кейса
керогаз
кета
кетовые
кивнуть
киев
кижуч
кик
километр
кимоно
киносерии
кинофестиваль
киото
кипяток
кислород
кислоты
кисть
кит
китай
китайская
китайские
китайский
кладбище
класс
классах
классификация
классический
классическое
классный
классу
класть
кленовый
клуб
клубника
ключевое
ключей
клёвый
книг
книга
книжная
книжный
ко
кобаяси
ковёр
когда
кого
коем
кожа
кожицы
кой
кока
коктель
кол
кола
колготки
колебаться
колено
колесо
количество
коллега
коллектив
колонка
колонна
колоть
колпак
кольцо
коляска
команда
командир
командиров
командировка
командировке
командировку
командиры
комбини
комедийном
комедийные
комедийный
комедия
комических
комментарии
комментарий
коммуникация
комната
комнатами
комок
компания
компетенция
комплект
композитор
композиция
компонент
компьютер
компьютере
компьютерная
кому
комфортный
кондиционер
конец
конечная
конечно
конечном
конечный
конкретно
конкретность
конкретный
конкурс
конный
консервная
консервы
консистенция
конституция
контактные
контакты
контекст
контрабанда
контрабандой
контроля
конфеты
конфликт
конфронтация
конца
конце
концерт
концов
кончать
кончаться
кончить
кончиться
коньки
коньяк
кооперировать
копейки
корабль
корейский
корея
коридор
коричневый
кормление
коробка
корова
королева
королевства
королевство
король
короткий
коротко
короче
корпус
корточки
корюшка
космея
космос
коснуться
кость
костюм
котлом
которая
которое
которой
которые
который
которым
кофе
кофта
кошка
кошлёк
краб
край
крайне
красавчик
красиво
красивые
красивый
красная
краснеть
красной
красный
красным
кратер
краткое
краткосрочный
креветка
крем
кресло
крестьянин
кризис
крикнуть
критиковать
кричать
кровать
крови
кровь
кровяное
крокодил
кроме
круг
кругозор
кругом
кружок
крупинка
крупные
крупный
крутая
круто
крутой
крылатая
крыша
крышка
кстати
кто
куда
кукла
кукольный
кулак
кульминация
культура
культурного
культурный
культуры
куноити
купание
купить
купон
купюра
курения
курить
курица
курносая
курорт
курорта
куросава
курс
курсив
курсу
куртка
курцева
кусочками
куст
кухня
кухонной
кухонный
кушать
кхмер
кхмерская
кхмерской
кюсю
кёльн
л
лабиальными
лаборатория
лавовый
лагерь
ладить
ладно
ладонь
лайн
лампа
ланч
лаос
лапша
лапши
ласка
ласкательная
лев
левый
легкая
легко
легкомысленно
легкостью
легче
ледниковой
ледяная
ледяной
лежать
лейтенант
лекарства
лекарственная
лекарство
лектор
ленный
ленту
лень
лес
лесов
лестница
лет
летать
лететь
летнее
летний
летняя
лето
летом
летучий
лечебные
лечь
ли
либо
лидер
лидерство
лидирующая
лилии
лимон
лимонад
лимоном
линий
линию
линия
лиса
лист
листовка
листом
листьев
листья
листьях
литература
лица
лицензия
лицо
лицом
лично
личного
личности
личность
личностью
личный
лишний
лишь
лоб
лобан
лобби
ловить
ловкий
лодка
ложиться
ложка
локва
ломать
лондон
лондонского
лондонском
лоно
лошадь
лук
лука
луна
лучше
лучшее
лучшему
лучший
лыбнуться
лыжах
лыжи
лыжная
лыжного
лыжных
льда
льдом
любимый
любить
люблю
любоваться
любовное
любовь
любой
любом
любому
людей
люди
люкс
лягушка
лёгкий
лёгко
лёд
м
магазин
магазинов
магазины
магистрант
мадам
май
майко
майонез
мак
макияж
максимум
малайзии
малайзия
маленький
мало
малоизвестное
малоротая
мальчик
мальчишеский
мама
манги
мандарин
мандзай
манера
манеры
марафон
март
маршрут
маршрута
маршруту
масако
маска
масле
массаж
массажа
массовый
мать
махнуть
мацумото
мачеха
машина
машины
мвд
мгновение
медведь
медиа
медийная
медийной
медицина
медленно
медленный
медосмотр
медсестра
между
международный
мексика
мелкий
мелодия
мелочей
мелочь
мельбурн
мемориал
менее
меньшей
меню
меня
менять
меняться
мер
мера
мере
меритократия
мероприятие
мерси
меры
места
месте
местность
местный
место
месяц
месяца
метод
метр
метро
метров
механизм
механизмы
меч
меча
мечах
мечта
мечтать
мешать
мешок
мешочек
мигом
мид
микроволновая
милая
милле
милое
милосердие
милосердным
милый
мимо
минеральная
мини
министр
минтай
минута
мир
мире
мисо
мистика
мистический
мифическое
миэ
младенец
младший
мне
мнение
многие
много
множестве
множество
мо
могил
могила
могу
мода
модель
модный
модным
моей
может
можете
можно
мозг
мои
мой
мокрый
мол
молва
молодая
молодой
молодости
молодость
молодые
молодёжь
молоко
молоком
молча
молчали
молчать
момент
моментально
моменты
монстр
моральное
море
морковка
мороз
морская
морское
моря
москва
московский
московском
мост
мосту
мотаи
моцарт
мочевой
мочь
мощность
моющее
моя
моё
моём
мудро
муж
мужик
мужская
мужским
мужской
мужчина
мужчинами
музей
музыка
музыкальная
музыкальный
муку
мускулы
мусолить
мусор
мусора
мусорный
мучительный
мучиться
мы
мыслей
мысли
мысль
мыть
мышцы
мышь
мэрии
мюзикл
мюзикла
мягкий
мягко
мяса
н
на
набираемых
наблюдать
набор
набэ
наверно
наверное
наверняка
навещать
наводить
наводящий
навязывать
над
надежда
надежду
надеяться
надменность
надо
надоедать
надоело
надёжный
наесться
назад
назв
название
названию
названия
назвать
назначать
назначение
назначения
называть
называться
наиболее
наибольший
наивысший
наилучший
найти
накапливать
наклона
наклонять
наклоняться
наконец
накопить
налетать
наливать
наличные
налог
намерение
намеренно
намного
наносит
наоборот
наоко
нападать
напарник
написал
написать
напитки
напиток
напиться
напишите
наполеон
наполеоном
напоминать
направить
направление
напрасный
например
напротив
напрягать
напрягаться
напряжение
напряжении
напряжения
напуганным
нара
наре
нарезки
нарисовать
народ
нарочно
наружность
наруто
нарушать
насильственно
наскучить
наслаждаешься
наслаждаться
настигать
настойка
настойчиво
настойчивость
настольный
настоящее
настоящему
настоящий
настраивать
настроение
настроении
наступания
наступать
наступила
наступить
натто
натуральный
натуре
наука
научить
научиться
научная
научно
находить
находиться
находящийся
нахождение
нахождения
нацеленный
национально
национальное
национальный
начавшая
начавшийся
начала
начале
начало
начался
начальник
начальной
начать
начаться
начертить
начинается
начинать
начинаться
начинающий
наш
наша
наше
нашей
наши
нашла
ная
не
небо
небольшой
небом
небрежный
неброский
неважно
невероятный
невзгоды
невинный
невозможно
невозможный
невозмутимо
невыносимый
негативный
негодный
недавнее
недавно
недалеко
недели
неделя
недовольство
недожаренный
