# FILENAME: BasicDict-JPN-Kana-4KanjiWords.tsv
# NAME-ENG: Basic Japanese Kana Four-Letter-Kanji Word Dictionary, 10th Edition
# NAME-JPN: 二重マス用四字熟語カナ辞書　第十版
# COPYRIGHT: (C) 2013-2021 katahiromz.
# LICENSE: MIT
# NOTE: ABSOLUTELY NO WARRANTY.
フソクフリ	不即不離
フロウフシ	不老不死
フンコツサイシン	粉骨砕身
ヘイオンブジ	平穏無事
ヘンゲンジザイ	変幻自在
ボウインボウショク	暴飲暴食
ホウフクゼットウ	抱腹絶倒
ホンマツテントウ	本末転倒
ムガムチュウ	無我夢中
ユウジュウフダン	優柔不断
ユウメイムジツ	有名無実
ユダンタイテキ	油断大敵
ヨウイシュウトウ	用意周到
リュウトウダビ	竜頭蛇尾
リンキオウヘン	臨機応変
ロウニャクナンニョ	老若男女
マンジョウイッチ	満場一致
マンシンソウイ	満身創痍
ムイムサク	無為無策
ムビョウソクサイ	無病息災
ムミカンソウ	無味乾燥
メイキョウシスイ	明鏡止水
メイメイハクハク	明々白々
メイヨバンカイ	名誉挽回
メンボクヤクジョ	面目躍如
モンガイフシュツ	門外不出
ユイガドクソン	唯我独尊
ユウショウレッパイ	優勝劣敗
ユウモウカカン	勇猛果敢
ユウユウジテキ	悠々自適
ヨウトウクニク	羊頭狗肉
リガイトクシツ	利害得失
リゴウシュウサン	離合集散
リッシンシュッセ	立身出世
リュウリュウシンク	粒々辛苦
リロセイゼン	理路整然
ワキアイアイ	和気藹々
