# FILENAME: BasicDict-JPN-Kanji-Freedom.tsv
# NAME-ENG: Basic Japanese Kanji Freedom Dictionary, 13th Edition
# NAME-JPN: 基本辞書データ（漢字、自由）第十三版
# COPYRIGHT: (C) 2013-2026 katahiromz.
# LICENSE: MIT
# NOTE: ABSOLUTELY NO WARRANTY.
# DATE: 2026-09-22
一等星	いっとうせい。
一等賞	いっとうしょう。
一筋縄	ひとすじなわ。
一節	いっせつ。
一糸	いっし。
一級	いっきゅう。
一組	ひとくみ。
一網打尽	いちもうだじん。
一緒	いっしょ。
一線	いっせん。
一群	いちぐん。
一羽	いちわ。
一考	いっこう。
一致	いっち。
一般人	いっぱんじん。
一般会計	いっぱんかいけい。
一般会計補正予算	いっぱんかいけいほせいよさん。
一般化	いっぱんか。
一般家庭	いっぱんかてい。
一般常識	いっぱんじょうしき。
一般教書演説	いっぱんきょうしょえんぜつ。
一般的	いっぱんてき。
一般社団法人	いっぱんしゃだんほうじん。
一般競争入札	いっぱんきょうそうにゅうさつ。
一般職	いっぱんしょく。
一般討論	いっぱんとうろん。
一般質問	いっぱんしつもん。
一般道路	いっぱんどうろ。
一色	いっしょく。
一行	いっこう。
一見	いっけん。
一見識	いちけんしき。
一覧	いちらん。
一覧表	いちらんひょう。
一角	いっかく。
一触即発	いっしょくそくはつ。
一言	ひとこと。
一話	いちわ。
一説	いっせつ。
一読	いちどく。
一課	いっか。
一議員	いちぎいん。
一足	いっそく。
一身上	いっしんじょう。
一軍	いちぐん。
一転	いってん。
一輪	いちりん。
一輪車	いちりんしゃ。
一辺倒	いっぺんとう。
一連	いちれん。
一週間	いっしゅうかん。
一進一退	いっしんいったい。
一過性	いっかせい。
一部	いちぶ。
一部分	いちぶぶん。
一部始終	いちぶしじゅう。
一酸化炭素	いっさんかたんそ。
一重	ひとえ。
一長一短	いっちょういったん。
一階	いっかい。
一面	いちめん。
一頭	いっとう。
一風	いっぷう。
一食	いっしょく。
一食分	いっしょくぶん。
丁字路	ていじろ。
丁寧	ていねい。
丁寧語	ていねいご。
丁度	ちょうど。
丁目	ちょうめ。
丁重	ていちょう。
七丁	ななちょう。
七万円	ななまんえん。
七不思議	ななふしぎ。
七五三	しちごさん。
七五調	しちごちょう。
七人	しちにん。
七件	ななけん。
七位	なない。
七個	ななこ。
七億	ななおく。
七兆	ななちょう。
七円	ななえん。
七冊	ななさつ。
七分	ななふん。
七分前	ななふんまえ。
七分後	ななふんご。
七分間	ななふんかん。
七割	ななわり。
七割増	ななわりぞう。
七割引	ななわりびき。
七割減	ななわりげん。
七区	ななく。
七十周年	ななじゅっしゅうねん。
七句	ななく。
七台	ななだい。
七名	ななめい。
七名様	ななめいさま。
七周年	ななしゅうねん。
七味	しちみ。
七味唐辛子	しちみとうがらし
七問	ななもん。
七回	ななかい。
七回生	ななかいせい。
七変化	しちへんげ。
七夕	たなばた。
七夕祭	たなばたまつり。
七巻	ななかん。
七年	ななねん。
七年前	ななねんまえ。
七年後	ななねんご。
七年間	ななねんかん。
七戦	ななせん。
七日	なのか。
七日分	なのかぶん。
七日前	なのかまえ。
七日後	なのかご。
七日間	なのかかん。
七時	しちじ。
七時	ななじ。
七時間前	しちじかんまえ。
七時間後	しちじかんご。
七曲	ななきょく。
七月	しちがつ。
七本	ななほん。
七枚	ななまい。
七枚分	ななまいぶん。
七枚目	ななまいめ。
七機	ななき。
七点	ななてん。
七番	ななばん。
七番目	ななばんめ。
七着	ななちゃく。
七票	ななひょう。
七福神	しちふくじん。
七秒	ななびょう。
七秒前	ななびょうまえ。
七秒後	ななびょうご。
七秒間	ななびょうかん。
七種	ななしゅ。
七種類	ななしゅるい。
七等分	ななとうぶん。
七組	ななくみ。
七羽	ななわ。
七色	なないろ。
七色	ななしょく。
七草	ななくさ。
七角	ななかく。
七角形	ななかっけい。
七話	ななわ。
七足	ななそく。
七転八倒	しちてんばっとう
七輪	しちりん。
七連勝	ななれんしょう。
七連敗	ななれんぱい。
七重奏	しちじゅうそう。
七階	ななかい。
七面鳥	しちめんちょう。
七頭	ななとう。
万一	まんいち。
万世一系	ばんせいいっけい。
万事	ばんじ。
万人	ばんにん
万人	ばんにん。
万全	ばんぜん。
万力	まんりき。
万国	ばんこく。
万国共通	ばんこくきょうつう。
万国旗	ばんこくき。
万屋	よろずや。
万年	まんねん。
万年床	まんねんどこ。
万年筆	まんねんひつ。
万年雪	まんえんゆき。
万年雪	まんねんゆき。
万有引力	ばんゆういんりょく。
万札	まんさつ。
万歩計	まんぽけい。
万物	ばんぶつ。
万病	まんびょう。
万能	ばんのう。
万葉集	まんようしゅう。
万馬券	まんばけん。
丈夫	じょうぶ。
三丁	さんちょう。
三丁目	さんちょうめ。
三万円	さんまんえん。
三人	さんにん。
三人前	さんにんまえ。
三代	さんだい。
三代目	さんだいめ。
三件	さんけん。
三位	さんい。
三位一体	さんみいったい。
三個	さんこ。
三倍	さんばい。
三倍速	さんばいそく。
三倍酢	さんばいず。
三億	さんおく。
三兆	さんちょう。
三兆円	さんちょうえん。
三党	さんとう。
三円	さんえん。
三冊	さんさつ。
三分	さんぷん。
三分前	さんぷんまえ。
三分後	さんぷんご。
三分間	さんぷんかん。
三割	さんわり。
三割増	さんわりぞう。
三割引	さんわりびき。
三割減	さんわりげん。
三勝	さんしょう。
三区	さんく。
三十周年	さんじゅっしゅうねん。
三十路	みそじ。
三半規管	さんはんきかん。
三原則	さんげんそく。
三原色	さんげんしょく。
三句	さんく。
三台	さんだい。
三台目	さんだいめ。
三号車	さんごうしゃ。
三合	さんごう。
三名	さんめい。
三名様	さんめいさま。
三周年	さんしゅうねん。
三味線	しゃみせん。
三問	さんもん。
三回	さんかい。
三回戦	さんかいせん。
三回生	さんかいせい。
三国同盟	さんごくどうめい。
三国志	さんごくし。
三塁	さんるい。
三塁手	さんるいしゅ。
三大文明	さんだいぶんめい。
三女	さんじょ
三女	さんじょ。
三字	さんじ。
三学期	さんがっき。
三寒四温	さんかんしおん。
三巻	さんかん。
三年	さんねん。
三年前	さんねんまえ。
三年後	さんねんご。
三年生	さんねんせい。
三年間	さんねんかん。
三度	さんど。
三度目	さんどめ。
三弾	さんだん。
三役	さんやく。
三戦	さんせん。
三才	さんさい。
三拍子	さんびょうし。
三振	さんしん。
三敗	さんぱい。
三日	みっか。
三日分	みっかぶん。
三日前	みっかまえ。
三日坊主	みっかぼうず。
三日後	みっかご。
三日月	みかずき。
三日月	みかづき。
三日間	みっかかん。
三時	さんじ。
三時間	さんじかん。
三時間前	さんじかんまえ。
三時間後	さんじかんご。
三時間間	さんじかんかん。
三曲	さんきょく。
三月	さんがつ。
三期	さんき。
三本	さんぼん。
三本目	さんぼんめ。
三条	さんじょう。
三杯	さんばい。
三杯目	さんばいめ。
三杯酢	さんばいず。
三枚	さんまい。
三枚分	さんまいぶん。
三枚目	さんまいめ。
三枚舌	さんまいじた。
三権分立	さんけんぶんりつ。
三機	さんき。
三次	さんじ。
三次元	さんじげん。
三歳	さんさい。
三段目	さんだんめ。
三段階	さんだんかい。
三毛猫	みけねこ。
三流	さんりゅう。
三点	さんてん。
三男	さんなん。
三番	さんばん。
三番目	さんばんめ。
三相交流	さんそうこうりゅう。
三着	さんちゃく。
三票	さんぴょう。
三秒	さんびょう。
三秒前	さんびょうまえ。
三秒後	さんびょうご。
三秒間	さんびょうかん。
三種	さんしゅ。
三種類	さんしゅるい。
三等	さんとう。
三等分	さんとうぶん。
三等賞	さんとうしょう。
三級	さんきゅう。
三組	さんくみ。
三羽	さんわ。
三脚	さんきゃく。
三色	さんしょく。
三葉虫	さんようちゅう。
三蔵法師	さんぞうほうし。
三角	さんかく。
三角定規	さんかくじょうぎ。
三角州	さんかくす。
三角形	さんかくけい。
三角形	さんかっけい。
三角柱	さんかくちゅう。
三角点	さんかくてん。
三角筋	さんかくきん。
三角関係	さんかくかんけい。
三話	さんわ。
三輪車	さんりんしゃ。
三連休	さんれんきゅう。
三連勝	さんれんしょう。
三連敗	さんれんぱい。
三連発	さんれんぱつ。
三部	さんぶ。
三部会	さんぶかい。
三重	さんじゅう。
三重	みえ。
三重県	みえけん。
三階	さんかい。
三面	さんめん。
三面記事	さんめんきじ。
三面鏡	さんめんきょう。
三頭	さんとう。
三食	さんしょく。
三食分	さんしょくぶん。
上下	じょうげ。
上下動	じょうげどう。
上下対称	じょうげたいしょう。
上下水道	じょうげすいどう。
上下水道局	じょうげすいどうきょく。
上下関係	じょうげかんけい。
上中下	じょうちゅうげ。
上京	じょうきょう。
上代	じょうだい。
上位	じょうい。
上体	じょうたい。
上側	うえがわ。
上側	うわがわ。
上半期	かみはんき。
上半身	じょうはんしん。
上司	じょうし。
上品	じょうひん。
上場	じょうじょう。
上場企業	じょうじょうきぎょう。
上場廃止	じょうじょうはいし。
上官	じょうかん。
上層部	じょうそうぶ。
上巻	じょうかん。
上座	かみざ。
上役	うわやく。
上意下達	じょういかたつ。
上手	じょうず。
上新粉	じょうしんこ。
上方修正	じょうほうしゅうせい。
上昇	じょうしょう。
上昇気流	じょうしょうきりゅう。
上映	じょうえい。
上映中	じょうえいちゅう。
上映中止	じょうえいちゅうし。
上映会	じょうえいかい。
上機嫌	じょうきげん。
上段	じょうだん。
上水道	じょうすいどう。
上流	じょうりゅう。
上流域	じょうりゅういき。
上流社会	じょうりゅうしゃかい。
上流階級	じょうりゅうかいきゅう。
上演	じょうえん。
上皇	じょうこう。
上皇后	じょうこうごう。
上目	うわめ。
上着	うわぎ。
上空	じょうくう。
上等	じょうとう。
上級	じょうきゅう。
上級生	じょうきゅうせい。
上級者	じょうきゅうしゃ。
上記	じょうき。
上記以外	じょうきいがい。
上質	じょうしつ。
上質	じょじゅしつ。
上辺	うわべ。
